transaction_id,customer_id,country,amount,category,date
1,101,Spain,120.5,Electronics,2024-01-15
2,102,France,75.0,Fashion,2024-01-17
3,103,Germany,210.3,Home,2024-01-20
4,104,Spain,33.0,Books,2024-02-02
5,105,France,450.0,Electronics,2024-02-05
6,106,Germany,89.9,Fashion,2024-02-06
7,107,Italy,25.0,Books,2024-02-07
8,108,Spain,310.0,Home,2024-02-08
9,109,France,12.0,Books,2024-02-09
10,110,Germany,199.0,Electronics,2024-02-10
11,111,Spain,59.0,Fashion,2024-02-11
12,112,Italy,480.5,Electronics,2024-02-12
13,113,France,125.0,Home,2024-02-13
14,114,Germany,42.0,Books,2024-02-15
15,115,Spain,310.3,Fashion,2024-02-16
16,116,Italy,77.7,Books,2024-02-18
17,117,France,310.2,Electronics,2024-02-19
18,118,Germany,89.0,Home,2024-02-20
19,119,Spain,15.0,Books,2024-02-21
20,120,Italy,205.9,Home,2024-02-22
